cpu,memory,storage,bandwidth,price,machine_type
1vCPU,1GB Memory,25GB Storage,2.00TB Bandwidth,$6.00 /mo,High Performance
1vCPU,2GB Memory,50GB Storage,3.00TB Bandwidth,$12.00 /mo,High Performance
2vCPU,2GB Memory,60GB Storage,4.00TB Bandwidth,$18.00 /mo,High Performance
2vCPU,4GB Memory,100GB Storage,5.00TB Bandwidth,$24.00 /mo,High Performance
4vCPU,8GB Memory,180GB Storage,6.00TB Bandwidth,$48.00 /mo,High Performance
4vCPU,12GB Memory,260GB Storage,7.00TB Bandwidth,$72.00 /mo,High Performance
8vCPU,16GB Memory,350GB Storage,8.00TB Bandwidth,$96.00 /mo,High Performance
12vCPU,24GB Memory,500GB Storage,12.00TB Bandwidth,$144.00 /mo,High Performance
1vCPU,1GB Memory,25GB Storage,2.00TB Bandwidth,$6.00 /mo,High Performance
1vCPU,2GB Memory,50GB Storage,3.00TB Bandwidth,$12.00 /mo,High Performance
2vCPU,2GB Memory,60GB Storage,4.00TB Bandwidth,$18.00 /mo,High Performance
2vCPU,4GB Memory,100GB Storage,5.00TB Bandwidth,$24.00 /mo,High Performance
4vCPU,8GB Memory,180GB Storage,6.00TB Bandwidth,$48.00 /mo,High Performance
4vCPU,12GB Memory,260GB Storage,7.00TB Bandwidth,$72.00 /mo,High Performance
8vCPU,16GB Memory,350GB Storage,8.00TB Bandwidth,$96.00 /mo,High Performance
12vCPU,24GB Memory,500GB Storage,12.00TB Bandwidth,$144.00 /mo,High Performance
1vCPU,1GB Memory,32GB Storage,1.00TB Bandwidth,$6 /mo,High Frequency
1vCPU,2GB Memory,64GB Storage,2.00TB Bandwidth,$12 /mo,High Frequency
2vCPU,2GB Memory,80GB Storage,3.00TB Bandwidth,$18 /mo,High Frequency
2vCPU,4GB Memory,128GB Storage,3.00TB Bandwidth,$24 /mo,High Frequency
3vCPU,8GB Memory,256GB Storage,4.00TB Bandwidth,$48 /mo,High Frequency
4vCPU,16GB Memory,384GB Storage,5.00TB Bandwidth,$96 /mo,High Frequency
6vCPU,24GB Memory,448GB Storage,6.00TB Bandwidth,$144 /mo,High Frequency
8vCPU,32GB Memory,512GB Storage,7.00TB Bandwidth,$192 /mo,High Frequency
12vCPU,48GB Memory,768GB Storage,8.00TB Bandwidth,$256 /mo,High Frequency
1vCPU,0.5GB Memory,10GB Storage,0.50TB Bandwidth,$2.50 /mo,Regular Performance
1vCPU,0.5GB Memory,10GB Storage,0.50TB Bandwidth,$3.50 /mo,Regular Performance
1vCPU,1GB Memory,25GB Storage,1.00TB Bandwidth,$5 /mo,Regular Performance
1vCPU,2GB Memory,55GB Storage,2.00TB Bandwidth,$10 /mo,Regular Performance
2vCPU,4GB Memory,80GB Storage,3.00TB Bandwidth,$20 /mo,Regular Performance
4vCPU,8GB Memory,160GB Storage,4.00TB Bandwidth,$40 /mo,Regular Performance
6vCPU,16GB Memory,320GB Storage,5.00TB Bandwidth,$80 /mo,Regular Performance
8vCPU,32GB Memory,640GB Storage,6.00TB Bandwidth,$160 /mo,Regular Performance
16vCPU,64GB Memory,1280GB Storage,10.00TB Bandwidth,$320 /mo,Regular Performance
24vCPU,96GB Memory,1600GB Storage,15.00TB Bandwidth,$640 /mo,Regular Performance
1vCPU,4GB Memory,30GB Storage,4.00TB Bandwidth,$30.00 /mo,General Purpose
2vCPU,8GB Memory,50GB Storage,5.00TB Bandwidth,$60.00 /mo,General Purpose
4vCPU,16GB Memory,80GB Storage,6.00TB Bandwidth,$120.00 /mo,General Purpose
8vCPU,32GB Memory,160GB Storage,7.00TB Bandwidth,$240.00 /mo,General Purpose
16vCPU,64GB Memory,320GB Storage,8.00TB Bandwidth,$480.00 /mo,General Purpose
24vCPU,96GB Memory,480GB Storage,9.00TB Bandwidth,$720.00 /mo,General Purpose
32vCPU,128GB Memory,640GB Storage,9.00TB Bandwidth,$960.00 /mo,General Purpose
40vCPU,160GB Memory,768GB Storage,10.00TB Bandwidth,"$1,200.00 /mo",General Purpose
64vCPU,192GB Memory,960GB Storage,11.00TB Bandwidth,"$1,920.00 /mo",General Purpose
96vCPU,255GB Memory,1280GB Storage,12.00TB Bandwidth,"$3,840.00 /mo",General Purpose
1vCPU,2GB Memory,25GB Storage,4.00TB Bandwidth,$28.00 /mo,CPU Optimized
2vCPU,4GB Memory,50GB Storage,5.00TB Bandwidth,$40.00 /mo,CPU Optimized
2vCPU,4GB Memory,75GB Storage,5.00TB Bandwidth,$45.00 /mo,CPU Optimized
4vCPU,8GB Memory,75GB Storage,6.00TB Bandwidth,$80.00 /mo,CPU Optimized
4vCPU,8GB Memory,150GB Storage,6.00TB Bandwidth,$90.00 /mo,CPU Optimized
8vCPU,16GB Memory,150GB Storage,7.00TB Bandwidth,$160.00 /mo,CPU Optimized
8vCPU,16GB Memory,300GB Storage,7.00TB Bandwidth,$180.00 /mo,CPU Optimized
16vCPU,32GB Memory,300GB Storage,8.00TB Bandwidth,$320.00 /mo,CPU Optimized
16vCPU,32GB Memory,500GB Storage,8.00TB Bandwidth,$360.00 /mo,CPU Optimized
32vCPU,64GB Memory,500GB Storage,9.00TB Bandwidth,$640.00 /mo,CPU Optimized
32vCPU,64GB Memory,1000GB Storage,10.00TB Bandwidth,$720.00 /mo,CPU Optimized
1vCPU,8GB Memory,50GB Storage,5.00TB Bandwidth,$40.00 /mo,Memory Optimized
2vCPU,16GB Memory,100GB Storage,6.00TB Bandwidth,$80.00 /mo,Memory Optimized
2vCPU,16GB Memory,200GB Storage,6.00TB Bandwidth,$100.00 /mo,Memory Optimized
2vCPU,16GB Memory,400GB Storage,6.00TB Bandwidth,$125.00 /mo,Memory Optimized
4vCPU,32GB Memory,200GB Storage,8.00TB Bandwidth,$160.00 /mo,Memory Optimized
4vCPU,32GB Memory,400GB Storage,8.00TB Bandwidth,$195.00 /mo,Memory Optimized
4vCPU,32GB Memory,800GB Storage,8.00TB Bandwidth,$250.00 /mo,Memory Optimized
8vCPU,64GB Memory,400GB Storage,9.00TB Bandwidth,$320.00 /mo,Memory Optimized
8vCPU,64GB Memory,800GB Storage,9.00TB Bandwidth,$390.00 /mo,Memory Optimized
8vCPU,64GB Memory,1600GB Storage,9.00TB Bandwidth,$500.00 /mo,Memory Optimized
16vCPU,128GB Memory,800GB Storage,10.00TB Bandwidth,$640.00 /mo,Memory Optimized
16vCPU,128GB Memory,1600GB Storage,10.00TB Bandwidth,$785.00 /mo,Memory Optimized
16vCPU,128GB Memory,3200GB Storage,10.00TB Bandwidth,"$1,000.00 /mo",Memory Optimized
24vCPU,192GB Memory,1200GB Storage,11.00TB Bandwidth,$960.00 /mo,Memory Optimized
24vCPU,192GB Memory,2400GB Storage,11.00TB Bandwidth,"$1,175.00 /mo",Memory Optimized
24vCPU,192GB Memory,4800GB Storage,11.00TB Bandwidth,"$1,500.00 /mo",Memory Optimized
32vCPU,256GB Memory,1600GB Storage,12.00TB Bandwidth,"$1,280.00 /mo",Memory Optimized
32vCPU,256GB Memory,3200GB Storage,12.00TB Bandwidth,"$1,565.00 /mo",Memory Optimized
32vCPU,256GB Memory,6400GB Storage,12.00TB Bandwidth,"$2,000.00 /mo",Memory Optimized
1vCPU,8GB Memory,150GB Storage,4.00TB Bandwidth,$75.00 /mo,Storage Optimized
2vCPU,16GB Memory,320GB Storage,6.00TB Bandwidth,$125.00 /mo,Storage Optimized
2vCPU,16GB Memory,480GB Storage,6.00TB Bandwidth,$155.00 /mo,Storage Optimized
4vCPU,32GB Memory,640GB Storage,7.00TB Bandwidth,$250.00 /mo,Storage Optimized
4vCPU,32GB Memory,960GB Storage,7.00TB Bandwidth,$310.00 /mo,Storage Optimized
8vCPU,64GB Memory,1280GB Storage,8.00TB Bandwidth,$500.00 /mo,Storage Optimized
8vCPU,64GB Memory,1920GB Storage,8.00TB Bandwidth,$620.00 /mo,Storage Optimized
16vCPU,128GB Memory,2560GB Storage,9.00TB Bandwidth,"$1,000.00 /mo",Storage Optimized
16vCPU,128GB Memory,3840GB Storage,9.00TB Bandwidth,"$1,240.00 /mo",Storage Optimized
24vCPU,192GB Memory,3840GB Storage,10.00TB Bandwidth,"$1,500.00 /mo",Storage Optimized
24vCPU,192GB Memory,5760GB Storage,10.00TB Bandwidth,"$1,850.00 /mo",Storage Optimized
32vCPU,256GB Memory,5760GB Storage,12.00TB Bandwidth,"$2,000.00 /mo",Storage Optimized
32vCPU,256GB Memory,6400GB Storage,14.00TB Bandwidth,"$2,480.00 /mo",Storage Optimized
